Padró municipal d'habitants. Xifres oficials. Per sexe
Municipis. 2016
Font: Idescat. Padró municipal d'habitants.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=446&by=mun
Codi;Literal;Homes;Dones;Total
080787;Espunyola, l';126;121;247;
082541;Esquirol, l';1097;1071;2168;
250886;Estamariu;67;52;119;
080790;Estany, l';200;204;404;
250851;Estaràs;86;77;163;
250864;Esterri d'Àneu;375;414;789;
250870;Esterri de Cardós;34;35;69;
430555;Falset;1411;1423;2834;
170059;Far d'Empordà, el;277;276;553;
250899;Farrera;75;51;126;
430568;Fatarella, la;496;508;1004;
430574;Febró, la;26;14;40;
081347;Figaró-Montmany;538;554;1092;
080804;Fígols;23;17;40;
259084;Fígols i Alinyà;147;107;254;
430580;Figuera, la;63;42;105;
170669;Figueres;22652;23074;45726;
430593;Figuerola del Camp;165;176;341;
170675;Flaçà;491;527;1018;
430607;Flix;1843;1834;3677;
250925;Floresta, la;86;69;155;
080826;Fogars de la Selva;752;700;1452;
080811;Fogars de Montclús;245;217;462;
170681;Foixà;159;150;309;
080832;Folgueroles;1158;1140;2298;
250931;Fondarella;396;398;794;
080847;Fonollosa;732;669;1401;
170694;Fontanals de Cerdanya;232;214;446;
170708;Fontanilles;77;63;140;
170715;Fontcoberta;729;742;1471;
080850;Font-rubí;697;666;1363;
250946;Foradada;98;74;172;
179026;Forallac;859;864;1723;
430614;Forès;26;21;47;
170736;Fornells de la Selva;1267;1280;2547;
170741;Fortià;346;375;721;
080863;Franqueses del Vallès, les;9855;9562;19417;
430629;Freginals;211;185;396;
250962;Fuliola, la;630;630;1260;
250978;Fulleda;46;41;87;
080902;Gaià;88;72;160;
430635;Galera, la;389;359;748;
080879;Gallifa;99;88;187;
430640;Gandesa;1526;1473;2999;
430653;Garcia;306;295;601;
430666;Garidells, els;94;99;193;
080885;Garriga, la;7728;8184;15912;
170754;Garrigàs;228;207;435;
170767;Garrigoles;89;74;163;
170773;Garriguella;428;426;854;
080898;Gavà;22757;23509;46266;
250984;Gavet de la Conca;142;155;297;
080919;Gelida;3640;3598;7238;
170789;Ger;230;206;436;
259123;Gimenells i el Pla de la Font;570;541;1111;
430672;Ginestar;407;371;778;
170792;Girona;47149;51106;98255;
080924;Gironella;2361;2468;4829;
080930;Gisclareny;17;12;29;
430688;Godall;318;313;631;
250997;Golmés;905;930;1835;
170806;Gombrèn;93;91;184;
251001;Gósol;130;98;228;
080945;Granada, la;1065;1026;2091;
251018;Granadella, la;379;344;723;
080958;Granera;53;26;79;
251023;Granja d'Escarp, la;519;458;977;
080961;Granollers;29668;30506;60174;
251039;Granyanella;85;68;153;
251057;Granyena de les Garrigues;93;65;158;
251044;Granyena de Segarra;77;70;147;
430691;Gratallops;129;108;237;
080977;Gualba;718;708;1426;
170813;Gualta;201;175;376;
080996;Guardiola de Berguedà;474;423;897;
430705;Guiamets, els;128;145;273;
170828;Guils de Cerdanya;281;250;531;
251095;Guimerà;147;128;275;
259031;Guingueta d'Àneu, la;164;144;308;
251109;Guissona;3639;3253;6892;
251116;Guixers;94;52;146;
081000;Gurb;1311;1248;2559;
430712;Horta de Sant Joan;621;568;1189;
081017;Hospitalet de Llobregat, l';123505;131299;254804;
081629;Hostalets de Pierola, els;1494;1397;2891;
170834;Hostalric;2051;2007;4058;
081022;Igualada;19046;19941;38987;
251155;Isona i Conca Dellà;552;494;1046;
170849;Isòvol;153;123;276;
251137;Ivars d'Urgell;826;752;1578;
251121;Ivars de Noguera;181;170;351;
251142;Ivorra;61;53;114;
170852;Jafre;207;179;386;
170865;Jonquera, la;1632;1599;3231;
081038;Jorba;406;425;831;
259101;Josa i Tuixén;71;51;122;
170871;Juià;170;157;327;
251180;Juncosa;226;192;418;
251193;Juneda;1730;1613;3343;
251214;Les;469;489;958;
251229;Linyola;1330;1320;2650;
081043;Llacuna, la;474;398;872;
170887;Lladó;373;379;752;
251235;Lladorre;107;119;226;
251240;Lladurs;100;87;187;
081056;Llagosta, la;6528;6719;13247;
170890;Llagostera;4228;4038;8266;
170904;Llambilles;366;357;723;
170911;Llanars;270;244;514;
170926;Llançà;2453;2481;4934;
251253;Llardecans;248;228;476;
251266;Llavorsí;175;180;355;
251207;Lleida;68284;69860;138144;
170932;Llers;605;605;1210;
251272;Lles de Cerdanya;144;103;247;
081075;Lliçà d'Amunt;7557;7202;14759;
081081;Lliçà de Vall;3239;3131;6370;
251288;Llimiana;88;62;150;
081069;Llinars del Vallès;4821;4896;9717;
170947;Llívia;792;675;1467;
430727;Lloar, el;64;59;123;
251291;Llobera;110;93;203;
430733;Llorac;56;40;96;
430748;Llorenç del Penedès;1155;1168;2323;
170950;Lloret de Mar;18952;18090;37042;
170963;Llosses, les;119;94;213;
081094;Lluçà;135;145;280;
171024;Maçanet de Cabrenys;375;365;740;
171030;Maçanet de la Selva;3507;3312;6819;
170979;Madremanya;141;139;280;
170985;Maià de Montcal;228;205;433;
251333;Maials;513;437;950;
251305;Maldà;116;114;230;
081108;Malgrat de Mar;9118;9177;18295;
081115;Malla;135;132;267;
081120;Manlleu;10033;10071;20104;
081136;Manresa;36545;38207;74752;
430764;Marçà;309;277;586;
430751;Margalef;59;38;97;
082423;Marganell;136;141;277;
081141;Martorell;14073;13572;27645;
081154;Martorelles;2356;2369;4725;
430770;Mas de Barberans;296;309;605;
171002;Masarac;151;138;289;
430786;Masdenverge;555;533;1088;
081167;Masies de Roda, les;360;354;714;
081173;Masies de Voltregà, les;1564;1606;3170;
430799;Masllorenç;272;230;502;
081189;Masnou, el;11131;11988;23119;
430803;Masó, la;155;135;290;
430810;Maspujols;400;374;774;
081192;Masquefa;4220;4166;8386;
430825;Masroig, el;273;221;494;
251312;Massalcoreig;313;258;571;
171019;Massanes;400;342;742;
251327;Massoteres;110;93;203;
081206;Matadepera;4508;4476;8984;
081213;Mataró;62355;63162;125517;
171045;Medinyà;..;..;..;
081228;Mediona;1143;1139;2282;
251348;Menàrguens;473;374;847;
170998;Meranges;59;40;99;
171058;Mieres;161;156;317;
430831;Milà, el;89;89;178;
251351;Miralcamp;686;683;1369;
430846;Miravet;398;339;737;
081385;Moià;2995;2962;5957;
430859;Molar, el;148;134;282;
081234;Molins de Rei;12342;13017;25359;
251370;Mollerussa;7465;7120;14585;
171061;Mollet de Peralada;98;82;180;
081249;Mollet del Vallès;25498;25993;51491;
171077;Molló;163;172;335;
251364;Molsosa, la;54;57;111;
081287;Monistrol de Calders;363;336;699;
081271;Monistrol de Montserrat;1456;1411;2867;
171096;Montagut i Oix;485;444;929;
430862;Montblanc;3682;3608;7290;
430884;Montbrió del Camp;1428;1351;2779;
081252;Montcada i Reixac;17170;17632;34802;
081304;Montclar;58;61;119;
251399;Montellà i Martinet;302;245;547;
081311;Montesquiu;465;466;931;
251403;Montferrer i Castellbò;566;484;1050;
430897;Montferri;217;183;400;
251386;Montgai;335;316;651;
081265;Montgat;5759;5862;11621;
081326;Montmajor;234;237;471;
081332;Montmaneu;78;73;151;
430901;Montmell, el;747;650;1397;
081350;Montmeló;4299;4485;8784;
251425;Montoliu de Lleida;251;244;495;
251410;Montoliu de Segarra;105;83;188;
251431;Montornès de Segarra;50;50;100;
081363;Montornès del Vallès;8220;7998;16218;
430918;Mont-ral;94;72;166;
171100;Mont-ras;853;837;1690;
430923;Mont-roig del Camp;5970;5551;11521;
081379;Montseny;166;154;320;
430939;Móra d'Ebre;2765;2809;5574;
430944;Móra la Nova;1564;1540;3104;
430957;Morell, el;1808;1742;3550;
430960;Morera de Montsant, la;89;64;153;
081290;Muntanyola;312;292;604;
081398;Mura;118;101;219;
251459;Nalec;52;48;100;
250254;Naut Aran;899;865;1764;
081402;Navarcles;2915;3073;5988;
081419;Navàs;3017;3028;6045;
171117;Navata;652;677;1329;
251462;Navès;137;146;283;
081424;Nou de Berguedà, la;75;76;151;
430976;Nou de Gaià, la;268;278;546;
430982;Nulles;237;216;453;
251484;Odèn;150;109;259;
081430;Òdena;1842;1765;3607;
171122;Ogassa;132;93;225;
081458;Olèrdola;1824;1705;3529;
081461;Olesa de Bonesvalls;898;825;1723;
081477;Olesa de Montserrat;11844;11801;23645;
251497;Oliana;929;915;1844;
251500;Oliola;123;97;220;
251517;Olius;488;441;929;
081483;Olivella;1897;1672;3569;
081496;Olost;599;586;1185;
171143;Olot;16892;17108;34000;
251522;Oluges, les;81;71;152;
081445;Olvan;419;436;855;
251538;Omellons, els;116;101;217;
251543;Omells de na Gaia, els;74;63;137;
171156;Ordis;200;177;377;
251556;Organyà;399;405;804;
081509;Orís;157;153;310;
081516;Oristà;267;280;547;
081521;Orpí;76;63;139;
081537;Òrrius;370;332;702;
251569;Os de Balaguer;514;508;1022;
171169;Osor;221;213;434;
251575;Ossó de Sió;105;109;214;
081542;Pacs del Penedès;457;437;894;
081555;Palafolls;4605;4528;9133;
171175;Palafrugell;11342;11526;22868;
171181;Palamós;8633;9044;17677;
251581;Palau d'Anglesola, el;1053;1100;2153;
171194;Palau de Santa Eulàlia;54;36;90;
171215;Palau-sator;156;141;297;
171208;Palau-saverdera;732;739;1471;
081568;Palau-solità i Plegamans;7135;7359;14494;
431009;Pallaresos, els;2322;2275;4597;
081574;Pallejà;5656;5692;11348;
430995;Palma d'Ebre, la;172;191;363;
089058;Palma de Cervelló, la;1494;1506;3000;
171236;Palol de Revardit;236;234;470;
171241;Pals;1227;1196;2423;
081580;Papiol, el;2021;2054;4075;
171254;Pardines;85;73;158;
081593;Parets del Vallès;9477;9360;18837;
171267;Parlavà;208;184;392;
431016;Passanant i Belltall;93;68;161;
171289;Pau;280;271;551;
431021;Paüls;280;300;580;
171292;Pedret i Marzà;98;82;180;
251641;Penelles;271;203;474;
171306;Pera, la;208;233;441;
081607;Perafita;207;204;411;
431037;Perafort;679;603;1282;
171328;Peralada;916;919;1835;
251654;Peramola;172;172;344;
431042;Perelló, el;1502;1401;2903;
081614;Piera;7648;7353;15001;
431055;Piles, les;112;95;207;
081635;Pineda de Mar;13107;13133;26240;
431068;Pinell de Brai, el;510;504;1014;
251667;Pinell de Solsonès;125;88;213;
251673;Pinós;160;137;297;
431074;Pira;268;232;500;
431080;Pla de Santa Maria, el;1191;1103;2294;
081640;Pla del Penedès, el;623;630;1253;
171334;Planes d'Hostoles, les;834;828;1662;
171349;Planoles;163;136;299;
259118;Plans de Sió, els;280;243;523;
251689;Poal, el;343;312;655;
251692;Pobla de Cérvoles, la;115;91;206;
081653;Pobla de Claramunt, la;1091;1068;2159;
081666;Pobla de Lillet, la;542;568;1110;
431093;Pobla de Mafumet, la;1939;1832;3771;
431107;Pobla de Massaluca, la;179;154;333;
431114;Pobla de Montornès, la;1473;1333;2806;
251713;Pobla de Segur, la;1475;1498;2973;
431129;Poboleda;204;170;374;
081672;Polinyà;4210;4090;8300;
431135;Pont d'Armentera, el;264;251;515;
250306;Pont de Bar, el;92;73;165;
171352;Pont de Molins;255;262;517;
251734;Pont de Suert, el;1156;1137;2293;
081825;Pont de Vilomara i Rocafort, el;1919;1805;3724;
431418;Pontils;65;55;120;
081688;Pontons;259;194;453;
171365;Pontós;131;103;234;
251728;Ponts;1310;1328;2638;
171371;Porqueres;2238;2292;4530;
431140;Porrera;238;207;445;
171404;Port de la Selva, el;522;472;994;
171387;Portbou;576;594;1170;
251749;Portella, la;409;332;741;
